"user_id","experiment_id","variation","first_joined_experiment","path"
1,"Experiment 1","original",2018-06-12,"example.com/features"
12,"Experiment Sim Currently Running","A",2019-01-29,"example.com"
15,"Experiment 1","variant",2018-06-15,"example.com"
15,"Experiment 2","B",2018-06-20,"example.com/features"
16,"Experiment 1","variant",2018-06-29,"example.com"
17,"Experiment 1","original",2018-06-06,"example.com/features"
19,"Experiment 1","original",2018-07-03,"example.com/pricing"
25,"Experiment 1","original",2018-06-10,"example.com/pricing"
29,"Experiment 1","original",2018-07-04,"example.com/pricing"
33,"Experiment 1","original",2018-06-09,"example.com"
39,"Experiment 1","original",2018-06-12,"example.com"
43,"Experiment Sim Currently Running","A",2019-01-24,"example.com"
54,"Experiment 1","variant",2018-06-08,"example.com/features"
70,"Experiment Sim Currently Running","A",2019-01-29,"example.com"
89,"Experiment 1","original",2018-07-02,"example.com"
94,"Experiment Sim Currently Running","B",2019-01-29,"example.com"
101,"Experiment 1","original",2018-06-21,"example.com"
105,"Experiment 2","A",2018-07-07,"example.com/features"
107,"Experiment 1","variant",2018-06-19,"example.com/features"
107,"Experiment 2","B",2018-06-19,"example.com/features"
114,"Experiment Sim Currently Running","B",2019-01-29,"example.com"
141,"Experiment 1","variant",2018-06-22,"example.com"
158,"Experiment Sim Currently Running","B",2019-01-24,"example.com"
161,"Experiment 2","A",2018-07-16,"example.com/features"
164,"Experiment 1","variant",2018-06-27,"example.com"
164,"Experiment 2","B",2018-07-03,"example.com/features"
171,"Experiment 1","original",2018-06-07,"example.com"
178,"Experiment 1","variant",2018-06-06,"example.com"
190,"Experiment 1","variant",2018-06-04,"example.com/features"
192,"Experiment 1","variant",2018-07-02,"example.com"
198,"Experiment Sim Currently Running","B",2019-02-07,"example.com"
199,"Experiment 1","original",2018-06-14,"example.com"
232,"Experiment 1","variant",2018-06-22,"example.com/features"
232,"Experiment 2","B",2018-06-22,"example.com/features"
239,"Experiment 1","variant",2018-06-07,"example.com"
259,"Experiment 2","A",2018-07-11,"example.com/features"
266,"Experiment 2","B",2018-07-16,"example.com/features"
281,"Experiment 1","variant",2018-06-21,"example.com/pricing"
281,"Experiment 2","B",2018-06-27,"example.com/features"
282,"Experiment 1","original",2018-06-11,"example.com/pricing"
288,"Experiment 1","original",2018-06-20,"example.com"
288,"Experiment 2","A",2018-06-22,"example.com/features"
293,"Experiment 1","variant",2018-06-23,"example.com/features"
293,"Experiment 2","B",2018-06-23,"example.com/features"
