"user_id","metric_id","conversion_date"
7,"Pay/Subscribe",2018-10-07
7,"Sign Up",2018-10-02
7,"Talk to Sales",2018-10-05
7,"Use Feature 1",2018-10-02
13,"Sign Up",2018-04-22
16,"Sign Up",2018-06-29
18,"Sign Up",2018-04-12
18,"Use Feature 1",2018-04-14
20,"Sign Up",2018-04-27
20,"Use Feature 1",2018-05-01
21,"Sign Up",2018-12-03
27,"Pay/Subscribe",2018-09-21
27,"Sign Up",2018-09-13
27,"Talk to Sales",2018-09-13
27,"Use Feature 1",2018-09-15
35,"Sign Up",2018-05-04
35,"Use Feature 1",2018-05-04
42,"Sign Up",2018-10-13
42,"Talk to Sales",2018-10-16
42,"Use Feature 1",2018-10-15
44,"Sign Up",2018-12-02
47,"Pay/Subscribe",2018-10-10
47,"Sign Up",2018-10-08
47,"Talk to Sales",2018-10-07
47,"Use Feature 1",2018-10-05
50,"Sign Up",2018-05-24
54,"Pay/Subscribe",2018-06-13
54,"Sign Up",2018-06-09
54,"Talk to Sales",2018-06-12
54,"Use Feature 1",2018-06-13
60,"Sign Up",2018-11-14
62,"Sign Up",2018-08-31
63,"Sign Up",2018-12-24
63,"Talk to Sales",2018-12-22
63,"Use Feature 1",2018-12-24
66,"Pay/Subscribe",2018-12-06
66,"Sign Up",2018-12-06
66,"Talk to Sales",2018-12-08
66,"Use Feature 1",2018-12-04
67,"Sign Up",2018-09-10
67,"Use Feature 1",2018-09-15
68,"Pay/Subscribe",2018-12-14
68,"Sign Up",2018-12-07
68,"Talk to Sales",2018-12-11
68,"Use Feature 1",2018-12-09
72,"Sign Up",2018-05-17
72,"Talk to Sales",2018-05-25
72,"Use Feature 1",2018-05-19
78,"Sign Up",2018-08-10
79,"Sign Up",2019-01-30
79,"Use Feature 1",2019-01-28
84,"Sign Up",2018-10-22
86,"Sign Up",2018-05-22
94,"Sign Up",2019-01-30
94,"Use Feature 1",2019-02-02
116,"Sign Up",2018-11-23
117,"Sign Up",2018-04-14
125,"Sign Up",2018-11-17
125,"Use Feature 1",2018-11-17
128,"Sign Up",2018-08-12
130,"Pay/Subscribe",2018-09-16
130,"Sign Up",2018-09-11
130,"Talk to Sales",2018-09-18
130,"Use Feature 1",2018-09-11
140,"Pay/Subscribe",2018-07-29
140,"Sign Up",2018-07-26
140,"Talk to Sales",2018-07-29
140,"Use Feature 1",2018-07-29
141,"Sign Up",2018-06-22
142,"Sign Up",2018-12-22
142,"Use Feature 1",2018-12-23
143,"Pay/Subscribe",2018-09-30
143,"Sign Up",2018-09-22
143,"Talk to Sales",2018-09-25
143,"Use Feature 1",2018-09-25
145,"Sign Up",2018-04-16
149,"Sign Up",2018-09-28
154,"Sign Up",2018-07-10
155,"Sign Up",2018-10-26
158,"Sign Up",2019-01-18
158,"Use Feature 1",2019-01-19
170,"Pay/Subscribe",2018-12-05
170,"Sign Up",2018-11-29
170,"Talk to Sales",2018-11-30
170,"Use Feature 1",2018-12-01
173,"Sign Up",2018-12-22
173,"Use Feature 1",2018-12-19
174,"Sign Up",2018-09-27
174,"Use Feature 1",2018-09-25
178,"Pay/Subscribe",2018-06-13
178,"Sign Up",2018-06-05
178,"Talk to Sales",2018-06-09
178,"Use Feature 1",2018-06-08
182,"Pay/Subscribe",2018-04-19
182,"Sign Up",2018-04-16
182,"Talk to Sales",2018-04-16
182,"Use Feature 1",2018-04-15
189,"Sign Up",2018-08-02
190,"Sign Up",2018-06-05
192,"Sign Up",2018-07-02
192,"Use Feature 1",2018-07-03
196,"Sign Up",2018-10-06
197,"Sign Up",2018-09-25
198,"Pay/Subscribe",2019-02-04
198,"Sign Up",2019-01-28
198,"Talk to Sales",2019-02-06
198,"Use Feature 1",2019-01-30
205,"Pay/Subscribe",2018-05-14
205,"Sign Up",2018-05-08
205,"Talk to Sales",2018-05-12
205,"Use Feature 1",2018-05-11
209,"Pay/Subscribe",2018-07-22
209,"Sign Up",2018-07-13
209,"Talk to Sales",2018-07-13
209,"Use Feature 1",2018-07-13
216,"Pay/Subscribe",2018-07-27
216,"Sign Up",2018-07-18
216,"Talk to Sales",2018-07-22
216,"Use Feature 1",2018-07-25
218,"Sign Up",2018-07-28
218,"Use Feature 1",2018-07-31
222,"Pay/Subscribe",2018-08-12
222,"Sign Up",2018-08-04
222,"Talk to Sales",2018-08-07
222,"Use Feature 1",2018-08-05
223,"Sign Up",2018-10-13
223,"Use Feature 1",2018-10-15
224,"Sign Up",2018-05-07
229,"Sign Up",2018-09-30
232,"Pay/Subscribe",2018-06-24
232,"Sign Up",2018-06-22
232,"Talk to Sales",2018-06-29
232,"Use Feature 1",2018-06-22
233,"Sign Up",2018-10-03
233,"Use Feature 1",2018-10-06
234,"Sign Up",2018-08-13
235,"Pay/Subscribe",2019-01-07
235,"Sign Up",2019-01-01
235,"Talk to Sales",2019-01-04
235,"Use Feature 1",2019-01-01
242,"Sign Up",2018-05-10
245,"Pay/Subscribe",2018-10-13
245,"Sign Up",2018-10-13
245,"Talk to Sales",2018-10-17
245,"Use Feature 1",2018-10-10
246,"Sign Up",2018-12-03
252,"Sign Up",2018-09-23
252,"Use Feature 1",2018-09-25
266,"Sign Up",2018-07-18
277,"Pay/Subscribe",2018-10-06
277,"Sign Up",2018-10-03
277,"Talk to Sales",2018-10-05
277,"Use Feature 1",2018-10-02
281,"Sign Up",2018-06-21
283,"Sign Up",2018-09-11
283,"Use Feature 1",2018-09-12
285,"Sign Up",2018-10-31
290,"Sign Up",2018-05-16
293,"Sign Up",2018-06-23
293,"Use Feature 1",2018-06-26
304,"Pay/Subscribe",2018-06-19
304,"Sign Up",2018-06-10
304,"Talk to Sales",2018-06-16
304,"Use Feature 1",2018-06-13
311,"Sign Up",2018-12-08
312,"Sign Up",2018-12-28
319,"Sign Up",2018-09-03
319,"Use Feature 1",2018-09-05
321,"Pay/Subscribe",2018-08-30
321,"Sign Up",2018-08-22
321,"Talk to Sales",2018-08-24
321,"Use Feature 1",2018-08-22
324,"Sign Up",2018-08-04
327,"Sign Up",2018-09-19
327,"Use Feature 1",2018-09-23
328,"Sign Up",2018-10-06
334,"Pay/Subscribe",2018-09-29
334,"Sign Up",2018-09-24
334,"Talk to Sales",2018-09-28
334,"Use Feature 1",2018-09-28
339,"Sign Up",2018-10-15
339,"Use Feature 1",2018-10-15
344,"Sign Up",2018-12-29
344,"Use Feature 1",2018-12-31
346,"Sign Up",2018-10-05
351,"Sign Up",2018-11-11
351,"Use Feature 1",2018-11-12
352,"Sign Up",2018-11-12
358,"Pay/Subscribe",2019-01-06
358,"Sign Up",2019-01-07
358,"Talk to Sales",2019-01-08
358,"Use Feature 1",2019-01-04
359,"Sign Up",2018-11-10
359,"Use Feature 1",2018-11-11
362,"Sign Up",2018-11-04
363,"Pay/Subscribe",2018-12-17
363,"Sign Up",2018-12-16
363,"Talk to Sales",2018-12-18
363,"Use Feature 1",2018-12-19
368,"Pay/Subscribe",2018-05-09
368,"Sign Up",2018-04-30
368,"Talk to Sales",2018-05-05
368,"Use Feature 1",2018-04-30
373,"Sign Up",2018-06-29
373,"Talk to Sales",2018-07-04
373,"Use Feature 1",2018-07-02
375,"Pay/Subscribe",2018-10-15
375,"Sign Up",2018-10-10
375,"Talk to Sales",2018-10-14
375,"Use Feature 1",2018-10-10
376,"Sign Up",2018-10-01
376,"Use Feature 1",2018-10-01
377,"Pay/Subscribe",2018-10-10
377,"Sign Up",2018-10-04
377,"Talk to Sales",2018-10-11
377,"Use Feature 1",2018-10-05
385,"Sign Up",2018-11-19
385,"Use Feature 1",2018-11-20
386,"Sign Up",2018-07-01
386,"Use Feature 1",2018-07-02
390,"Pay/Subscribe",2018-08-04
390,"Sign Up",2018-07-28
390,"Talk to Sales",2018-07-27
390,"Use Feature 1",2018-07-29
394,"Sign Up",2019-01-22
402,"Pay/Subscribe",2018-07-04
402,"Sign Up",2018-07-02
402,"Talk to Sales",2018-07-05
402,"Use Feature 1",2018-07-03
404,"Sign Up",2018-06-20
405,"Sign Up",2018-10-31
405,"Use Feature 1",2018-11-02
406,"Pay/Subscribe",2018-08-17
406,"Sign Up",2018-08-11
406,"Talk to Sales",2018-08-11
406,"Use Feature 1",2018-08-12
407,"Sign Up",2018-04-21
409,"Sign Up",2018-06-13
414,"Sign Up",2018-10-31
417,"Pay/Subscribe",2018-04-22
417,"Sign Up",2018-04-22
417,"Talk to Sales",2018-04-20
417,"Use Feature 1",2018-04-22
419,"Pay/Subscribe",2018-05-08
419,"Sign Up",2018-05-08
419,"Talk to Sales",2018-05-04
419,"Use Feature 1",2018-05-06
424,"Pay/Subscribe",2018-11-19
424,"Sign Up",2018-11-08
424,"Talk to Sales",2018-11-14
424,"Use Feature 1",2018-11-10
426,"Sign Up",2018-11-16
426,"Use Feature 1",2018-11-18
428,"Pay/Subscribe",2018-08-29
428,"Sign Up",2018-08-20
428,"Talk to Sales",2018-08-24
428,"Use Feature 1",2018-08-23
431,"Sign Up",2018-10-27
435,"Sign Up",2018-06-11
435,"Use Feature 1",2018-06-09
436,"Sign Up",2018-08-08
436,"Talk to Sales",2018-08-09
436,"Use Feature 1",2018-08-08
439,"Sign Up",2018-06-06
439,"Use Feature 1",2018-06-09
440,"Pay/Subscribe",2018-07-05
440,"Sign Up",2018-07-01
440,"Talk to Sales",2018-07-03
440,"Use Feature 1",2018-06-30
441,"Sign Up",2018-05-04
441,"Talk to Sales",2018-05-02
441,"Use Feature 1",2018-04-29
446,"Pay/Subscribe",2018-06-30
446,"Sign Up",2018-06-23
446,"Talk to Sales",2018-06-25
446,"Use Feature 1",2018-06-24
450,"Sign Up",2018-12-19
450,"Use Feature 1",2018-12-18
465,"Sign Up",2018-08-08
465,"Use Feature 1",2018-08-12
468,"Sign Up",2018-10-13
469,"Sign Up",2019-01-12
472,"Sign Up",2018-04-11
472,"Talk to Sales",2018-04-15
472,"Use Feature 1",2018-04-13
