"user_id","first_saw_experiment","path","experiment_id","variation"
1,2018-06-12,"example.com/features","Experiment 1","original"
15,2018-06-15,"example.com","Experiment 1","variant"
16,2018-06-29,"example.com","Experiment 1","variant"
17,2018-06-06,"example.com/features","Experiment 1","original"
19,2018-07-03,"example.com/pricing","Experiment 1","original"
25,2018-06-10,"example.com/pricing","Experiment 1","original"
29,2018-07-04,"example.com/pricing","Experiment 1","original"
33,2018-06-09,"example.com","Experiment 1","original"
39,2018-06-12,"example.com","Experiment 1","original"
54,2018-06-08,"example.com/features","Experiment 1","variant"
89,2018-07-02,"example.com","Experiment 1","original"
101,2018-06-21,"example.com","Experiment 1","original"
107,2018-06-19,"example.com/features","Experiment 1","variant"
141,2018-06-22,"example.com","Experiment 1","variant"
164,2018-06-27,"example.com","Experiment 1","variant"
171,2018-06-07,"example.com","Experiment 1","original"
178,2018-06-06,"example.com","Experiment 1","variant"
190,2018-06-04,"example.com/features","Experiment 1","variant"
192,2018-07-02,"example.com","Experiment 1","variant"
199,2018-06-14,"example.com","Experiment 1","original"
232,2018-06-22,"example.com/features","Experiment 1","variant"
239,2018-06-07,"example.com","Experiment 1","variant"
281,2018-06-21,"example.com/pricing","Experiment 1","variant"
282,2018-06-11,"example.com/pricing","Experiment 1","original"
288,2018-06-20,"example.com","Experiment 1","original"
293,2018-06-23,"example.com/features","Experiment 1","variant"
296,2018-07-02,"example.com/features","Experiment 1","variant"
304,2018-06-10,"example.com/pricing","Experiment 1","variant"
322,2018-06-22,"example.com","Experiment 1","original"
340,2018-06-06,"example.com","Experiment 1","original"
349,2018-06-14,"example.com/features","Experiment 1","original"
364,2018-06-07,"example.com","Experiment 1","variant"
373,2018-06-30,"example.com/pricing","Experiment 1","variant"
386,2018-07-02,"example.com","Experiment 1","variant"
399,2018-07-04,"example.com","Experiment 1","variant"
400,2018-06-06,"example.com/features","Experiment 1","original"
402,2018-07-01,"example.com/pricing","Experiment 1","variant"
404,2018-06-20,"example.com","Experiment 1","variant"
409,2018-06-14,"example.com","Experiment 1","variant"
430,2018-06-18,"example.com","Experiment 1","original"
435,2018-06-08,"example.com/features","Experiment 1","variant"
439,2018-06-07,"example.com","Experiment 1","variant"
440,2018-06-29,"example.com","Experiment 1","variant"
445,2018-06-24,"example.com","Experiment 1","original"
446,2018-06-23,"example.com","Experiment 1","variant"
482,2018-06-27,"example.com","Experiment 1","original"
483,2018-06-28,"example.com/features","Experiment 1","original"
496,2018-07-04,"example.com/pricing","Experiment 1","original"
508,2018-06-09,"example.com/features","Experiment 1","original"
517,2018-07-02,"example.com","Experiment 1","original"
522,2018-06-18,"example.com/features","Experiment 1","variant"
530,2018-06-28,"example.com","Experiment 1","variant"
537,2018-06-26,"example.com/features","Experiment 1","variant"
539,2018-06-28,"example.com/pricing","Experiment 1","variant"
543,2018-07-03,"example.com/pricing","Experiment 1","variant"
547,2018-06-20,"example.com/features","Experiment 1","variant"
562,2018-06-20,"example.com","Experiment 1","original"
564,2018-06-26,"example.com","Experiment 1","variant"
565,2018-06-11,"example.com/pricing","Experiment 1","variant"
566,2018-06-21,"example.com","Experiment 1","original"
567,2018-06-10,"example.com","Experiment 1","variant"
578,2018-06-09,"example.com/features","Experiment 1","variant"
581,2018-06-26,"example.com/features","Experiment 1","original"
590,2018-06-14,"example.com","Experiment 1","original"
642,2018-06-07,"example.com","Experiment 1","variant"
677,2018-06-18,"example.com/pricing","Experiment 1","variant"
684,2018-06-17,"example.com","Experiment 1","variant"
691,2018-07-03,"example.com","Experiment 1","variant"
697,2018-06-28,"example.com/pricing","Experiment 1","variant"
702,2018-06-22,"example.com","Experiment 1","variant"
708,2018-06-04,"example.com/features","Experiment 1","original"
719,2018-06-08,"example.com","Experiment 1","variant"
726,2018-06-19,"example.com/pricing","Experiment 1","original"
737,2018-06-18,"example.com","Experiment 1","variant"
751,2018-06-13,"example.com/pricing","Experiment 1","original"
760,2018-06-08,"example.com/features","Experiment 1","variant"
761,2018-06-19,"example.com","Experiment 1","variant"
774,2018-06-06,"example.com","Experiment 1","original"
787,2018-06-30,"example.com/features","Experiment 1","original"
811,2018-06-05,"example.com","Experiment 1","original"
818,2018-06-08,"example.com","Experiment 1","original"
829,2018-06-04,"example.com","Experiment 1","original"
832,2018-07-03,"example.com","Experiment 1","original"
836,2018-06-09,"example.com","Experiment 1","original"
840,2018-06-21,"example.com/features","Experiment 1","original"
848,2018-06-06,"example.com","Experiment 1","variant"
890,2018-06-04,"example.com","Experiment 1","original"
892,2018-07-02,"example.com/features","Experiment 1","original"
901,2018-06-10,"example.com/pricing","Experiment 1","variant"
915,2018-07-02,"example.com","Experiment 1","original"
916,2018-06-13,"example.com/features","Experiment 1","variant"
932,2018-06-16,"example.com","Experiment 1","original"
936,2018-07-02,"example.com/features","Experiment 1","original"
939,2018-06-19,"example.com","Experiment 1","variant"
950,2018-07-01,"example.com/pricing","Experiment 1","variant"
975,2018-06-10,"example.com","Experiment 1","variant"
979,2018-06-20,"example.com/features","Experiment 1","variant"
984,2018-06-29,"example.com/features","Experiment 1","variant"
993,2018-06-13,"example.com/features","Experiment 1","variant"
1009,2018-06-18,"example.com","Experiment 1","variant"
1010,2018-07-01,"example.com","Experiment 1","variant"
1022,2018-06-20,"example.com/pricing","Experiment 1","original"
